date,Private_RD_real
1947-01-01,11.07517377416225
1947-04-01,11.327630659004404
1947-07-01,11.634969475333982
1947-10-01,12.117930472423318
1948-01-01,11.652040049906425
1948-04-01,11.692817092950717
1948-07-01,11.784565439800373
1948-10-01,11.305435184029943
1949-01-01,10.449664974974626
1949-04-01,9.924607917118758
1949-07-01,9.801065079976201
1949-10-01,10.048150754261314
1950-01-01,10.910112872727272
1950-04-01,11.85748962077922
1950-07-01,12.702997901298701
1950-10-01,13.130845464935064
1951-01-01,12.230883572895278
1951-04-01,12.570630338809037
1951-07-01,13.070813077515401
1951-10-01,14.090053375256677
1952-01-01,15.390031166875785
1952-04-01,16.589494027603514
1952-07-01,17.973489636135508
1952-10-01,19.70809746549561
1953-01-01,20.73173316729967
1953-04-01,21.83058828217421
1953-07-01,22.52652985492809
1953-10-01,22.94775764896333
1954-01-01,23.102414740368513
1954-04-01,23.211904857621445
1954-07-01,23.102414740368513
1954-10-01,23.193656504745952
1955-01-01,22.768695468822887
1955-04-01,23.55540009329809
1955-07-01,24.872672952884464
1955-10-01,27.09557090343648
1956-01-01,29.694881510312914
1956-04-01,31.966621079407886
1956-07-01,33.14756506175488
1956-10-01,33.98594514082565
1957-01-01,32.35632076120465
1957-04-01,32.12090694806735
1957-07-01,32.49582524306379
1957-10-01,32.89690062840882
1958-01-01,32.582838179877086
1958-04-01,33.15148891133105
1958-07-01,34.37366361773957
1958-10-01,35.40062986409673
1959-01-01,35.712826312178386
1959-04-01,36.72190075471698
1959-07-01,36.999396226415094
1959-10-01,37.983243807890226
1960-01-01,39.23924475240832
1960-04-01,40.266623626837934
1960-07-01,40.763742437045806
1960-10-01,41.0205871556532
1961-01-01,40.9304660721253
1961-04-01,41.79940847221448
1961-07-01,42.70114115155231
1961-10-01,43.75862765732122
1962-01-01,44.06020266637285
1962-04-01,45.10539688188629
1962-07-01,45.69686337593654
1962-10-01,46.33694355442927
1963-01-01,46.59432806311208
1963-04-01,47.514532034820455
1963-07-01,48.370721817192596
1963-10-01,49.15489563656148
1964-01-01,49.39800853782957
1964-04-01,50.574715695645175
1964-07-01,51.814601761262956
1964-10-01,53.070282553831284
1965-01-01,53.87038353861607
1965-04-01,55.3164639742031
1965-07-01,56.7392205317968
1965-10-01,58.550708389279485
1966-01-01,58.2477701321699
1966-04-01,60.08971620685231
1966-07-01,61.999602915436924
1966-10-01,63.76605939689465
1967-01-01,63.76451002247192
1967-04-01,65.14526651685394
1967-07-01,66.84183433707867
1967-10-01,68.2666575280899
1968-01-01,67.3046489964072
1968-04-01,69.0096343473054
1968-07-01,70.72166509221557
1968-10-01,72.68028462754492
1969-01-01,70.65632314402545
1969-04-01,72.63421908223535
1969-07-01,74.42501675602
1969-10-01,75.8148895774648
1970-01-01,72.12584189658871
1970-04-01,72.25836816133877
1970-07-01,72.83895941643424
1970-10-01,72.51710991632696
1971-01-01,70.79950233841086
1971-04-01,71.80460944421573
1971-07-01,72.46458941128036
1971-10-01,73.4394222066694
1972-01-01,73.20504220051825
1972-04-01,74.61215497707795
1972-07-01,76.00754181383299
1972-10-01,78.65174123978474
1973-01-01,76.77791142374788
1973-04-01,79.27188310635903
1973-07-01,81.71067842431063
1973-10-01,84.48604956668542
1974-01-01,78.09410919905375
1974-04-01,80.57431289624873
1974-07-01,83.05451659344375
1974-10-01,84.13805247718825
1975-01-01,77.12715756618672
1975-04-01,78.10627535531818
1975-07-01,80.55179281003252
1975-10-01,83.23412014862984
1976-01-01,81.46254872950819
1976-04-01,83.37845350117095
1976-07-01,85.37185554449648
1976-10-01,87.29637112412178
1977-01-01,83.79134849051417
1977-04-01,86.77566465218587
1977-07-01,89.29494509760792
1977-10-01,92.06898423975805
1978-01-01,88.05194670072808
1978-04-01,92.22611092604421
1978-07-01,95.38209467875848
1978-10-01,99.16551805850045
1979-01-01,92.46155488863377
1979-04-01,95.69681437887486
1979-07-01,99.9013008771527
1979-10-01,104.41648035361654
1980-01-01,96.51806739631802
1980-04-01,99.35657155168924
1980-07-01,102.77824846854136
1980-10-01,108.11011371636657
1981-01-01,101.53023238636364
1981-04-01,104.8593134164223
1981-07-01,108.99707809750734
1981-10-01,112.48520024560118
1982-01-01,109.48427648825965
1982-04-01,112.57960624309392
1982-07-01,115.42863002071823
1982-10-01,117.2949691263812
1983-01-01,116.07289582594143
1983-04-01,119.6986354041841
1983-07-01,123.74036275481173
1983-10-01,128.9808241004184
1984-01-01,127.8654278640154
1984-04-01,132.3205295542014
1984-07-01,136.38177101026298
1984-10-01,140.10103801154588
1985-01-01,138.851022964684
1985-04-01,142.0107146654275
1985-07-01,144.95398912639405
1985-10-01,148.28909269516726
1986-01-01,147.2737172832941
1986-04-01,147.94187359112664
1986-07-01,149.10388456127026
1986-10-01,150.5340519091393
1987-01-01,146.39516423059996
1987-04-01,147.64863614786563
1987-07-01,149.78665795511222
1987-10-01,153.706724174857
1988-01-01,151.04344621433103
1988-04-01,156.1893810526316
1988-07-01,160.53119880786306
1988-10-01,165.1693793024731
1989-01-01,161.74327231627782
1989-04-01,164.56546824446986
1989-07-01,167.57752458549052
1989-10-01,171.50921730114976
1990-01-01,166.81798063652022
1990-04-01,170.77268490082278
1990-07-01,173.8644081586836
1990-10-01,174.99003555839022
1991-01-01,174.2873315397797
1991-04-01,181.8335780416157
1991-07-01,183.10448692288864
1991-10-01,188.2115244528764
1992-01-01,182.47764022806913
1992-04-01,184.12682398289482
1992-07-01,183.74248031121934
1992-10-01,186.30884782799788
1993-01-01,180.27400404222186
1993-04-01,181.26314086866242
