ticker,market_cap,employees
NVDA,2653011970569.6562,36000
AAPL,3156744185698.4375,150000
MSFT,2907875606472.6875,228000
META,1351986587966.5625,74067
GOOGL,1937374224199.5469,185719
AMZN,1991947471639.125,1556000
