date,Y694RC1Q027SBEA
1947-01-01,2.362
1947-04-01,2.393
1947-07-01,2.456
1947-10-01,2.549
1948-01-01,2.652
1948-04-01,2.733
1948-07-01,2.779
1948-10-01,2.769
1949-01-01,2.696
1949-04-01,2.666
1949-07-01,2.688
1949-10-01,2.746
1950-01-01,2.887
1950-04-01,3.022
1950-07-01,3.147
1950-10-01,3.247
1951-01-01,3.301
1951-04-01,3.399
1951-07-01,3.522
1951-10-01,3.699
1952-01-01,3.939
1952-04-01,4.134
1952-07-01,4.361
1952-10-01,4.619
1953-01-01,4.826
1953-04-01,5.02
1953-07-01,5.184
1953-10-01,5.32
1954-01-01,5.447
1954-04-01,5.543
1954-07-01,5.614
1954-10-01,5.714
1955-01-01,5.751
1955-04-01,6.015
1955-07-01,6.386
1955-10-01,6.936
1956-01-01,7.631
1956-04-01,8.238
1956-07-01,8.712
1956-10-01,9.089
1957-01-01,9.282
1957-04-01,9.494
1957-07-01,9.721
1957-10-01,9.918
1958-01-01,10.096
1958-04-01,10.254
1958-07-01,10.53
1958-10-01,10.795
1959-01-01,11.034
1959-04-01,11.299
1959-07-01,11.483
1959-10-01,11.732
1960-01-01,12.163
1960-04-01,12.572
1960-07-01,12.841
1960-10-01,13.061
1961-01-01,13.352
1961-04-01,13.751
1961-07-01,14.115
1961-10-01,14.442
1962-01-01,14.736
1962-04-01,15.143
1962-07-01,15.583
1962-10-01,16.109
1963-01-01,16.748
1963-04-01,17.35
1963-07-01,17.892
1963-10-01,18.329
1964-01-01,18.729
1964-04-01,19.121
1964-07-01,19.458
1964-10-01,19.768
1965-01-01,20.121
1965-04-01,20.544
1965-07-01,21.048
1965-10-01,21.691
1966-01-01,22.375
1966-04-01,23.006
1966-07-01,23.555
1966-10-01,23.987
1967-01-01,24.324
1967-04-01,24.64
1967-07-01,25.012
1967-10-01,25.422
1968-01-01,25.898
1968-04-01,26.36
1968-07-01,26.812
1968-10-01,27.287
1969-01-01,27.719
1969-04-01,28.102
1969-07-01,28.366
1969-10-01,28.472
1970-01-01,28.366
1970-04-01,28.256
1970-07-01,28.306
1970-10-01,28.311
1971-01-01,28.613
1971-04-01,28.941
1971-07-01,29.271
1971-10-01,29.736
1972-01-01,30.424
1972-04-01,30.985
1972-07-01,31.47
1972-10-01,32.157
1973-01-01,32.823
1973-04-01,33.451
1973-07-01,34.078
1973-10-01,34.755
1974-01-01,35.347
1974-04-01,36.091
1974-07-01,36.843
1974-10-01,37.385
1975-01-01,37.742
1975-04-01,38.357
1975-07-01,39.362
1975-10-01,40.452
1976-01-01,41.654
1976-04-01,42.647
1976-07-01,43.653
1976-10-01,44.634
1977-01-01,45.606
1977-04-01,46.896
1977-07-01,48.145
1977-10-01,49.465
1978-01-01,50.826
1978-04-01,52.65
1978-07-01,54.268
1978-10-01,56.074
1979-01-01,57.905
1979-04-01,59.73
1979-07-01,61.862
1979-10-01,64.095
1980-01-01,66.513
1980-04-01,68.462
1980-07-01,70.701
1980-10-01,73.672
1981-01-01,76.26
1981-04-01,78.67
1981-07-01,81.281
1981-10-01,83.542
1982-01-01,85.814
1982-04-01,87.983
1982-07-01,90.144
1982-10-01,91.993
1983-01-01,94.15
1983-04-01,96.841
1983-07-01,99.705
1983-10-01,103.083
1984-01-01,106.183
1984-04-01,109.61
1984-07-01,113.155
1984-10-01,116.831
1985-01-01,120.759
1985-04-01,124.007
1985-07-01,126.633
1985-10-01,128.887
