date,Y694RC1Q027SBEA
1986-01-01,129.966
1986-04-01,130.929
1986-07-01,132.513
1986-10-01,134.619
1987-01-01,136.984
1987-04-01,139.042
1987-07-01,141.079
1987-10-01,143.549
1988-01-01,145.436
1988-04-01,148.072
1988-07-01,150.234
1988-10-01,152.447
1989-01-01,154.432
1989-04-01,155.977
1989-07-01,157.877
1989-10-01,160.461
1990-01-01,163.48
1990-04-01,166.084
1990-07-01,167.903
1990-10-01,168.33
1991-01-01,171.364
1991-04-01,175.138
1991-07-01,175.538
1991-10-01,178.146
1992-01-01,177.92
1992-04-01,178.714
1992-07-01,178.334
1992-10-01,179.643
1993-01-01,179.082
1993-04-01,179.583
1993-07-01,178.527
1993-10-01,179.303
1994-01-01,179.278
1994-04-01,180.889
1994-07-01,184.08
1994-10-01,187.145
1995-01-01,191.846
1995-04-01,195.127
1995-07-01,198.703
1995-10-01,201.019
1996-01-01,205.951
1996-04-01,208.977
1996-07-01,212.502
1996-10-01,215.707
1997-01-01,221.827
1997-04-01,224.78
1997-07-01,228.059
1997-10-01,228.431
1998-01-01,233.026
1998-04-01,237.351
1998-07-01,242.171
1998-10-01,245.866
1999-01-01,249.128
1999-04-01,255.558
1999-07-01,262.053
1999-10-01,269.118
2000-01-01,278.15
2000-04-01,281.58
2000-07-01,288.133
2000-10-01,292.2
2001-01-01,293.46
2001-04-01,295.562
2001-07-01,294.842
2001-10-01,294.309
2002-01-01,293.581
2002-04-01,295.998
2002-07-01,297.504
2002-10-01,301.524
2003-01-01,304.712
2003-04-01,309.045
2003-07-01,312.226
2003-10-01,315.396
2004-01-01,317.085
2004-04-01,321.16
2004-07-01,326.121
2004-10-01,331.2
2005-01-01,341.871
2005-04-01,346.116
2005-07-01,351.312
2005-10-01,351.611
2006-01-01,358.509
2006-04-01,365.724
2006-07-01,379.06
2006-10-01,390.813
2007-01-01,392.96
2007-04-01,399.697
2007-07-01,401.966
2007-10-01,411.276
2008-01-01,418.688
2008-04-01,426.37
2008-07-01,422.189
2008-10-01,421.903
2009-01-01,405.356
2009-04-01,412.864
2009-07-01,415.634
2009-10-01,427.244
2010-01-01,421.586
2010-04-01,423.267
2010-07-01,428.653
2010-10-01,438.332
2011-01-01,444.027
2011-04-01,449.138
2011-07-01,453.016
2011-10-01,457.073
2012-01-01,456.865
2012-04-01,458.507
2012-07-01,461.587
2012-10-01,465.146
2013-01-01,473.949
2013-04-01,478.294
2013-07-01,485.439
2013-10-01,490.312
2014-01-01,491.937
2014-04-01,499.892
2014-07-01,507.744
2014-10-01,522.593
2015-01-01,522.49
2015-04-01,526.751
2015-07-01,534.044
2015-10-01,539.954
2016-01-01,545.093
2016-04-01,559.202
2016-07-01,564.536
2016-10-01,570.499
2017-01-01,580.253
2017-04-01,581.716
2017-07-01,593.351
2017-10-01,604.606
2018-01-01,620.131
2018-04-01,636.971
2018-07-01,642.629
2018-10-01,658.535
2019-01-01,676.684
2019-04-01,694.75
2019-07-01,707.888
2019-10-01,720.502
2020-01-01,736.743
2020-04-01,732.114
2020-07-01,760.621
2020-10-01,787.405
2021-01-01,804.825
2021-04-01,827.033
2021-07-01,845.51
2021-10-01,871.667
2022-01-01,898.171
2022-04-01,926.215
2022-07-01,943.455
2022-10-01,962.45
2023-01-01,982.075
2023-04-01,998.599
2023-07-01,1008.831
2023-10-01,1021.942
2024-01-01,1038.841
2024-04-01,1044.423
2024-07-01,1060.159
2024-10-01,1066.284
