date,Y057RC1Q027SBEA
1947-01-01,1.353
1947-04-01,1.361
1947-07-01,1.397
1947-10-01,1.445
1948-01-01,1.509
1948-04-01,1.586
1948-07-01,1.623
1948-10-01,1.66
1949-01-01,1.681
1949-04-01,1.703
1949-07-01,1.736
1949-10-01,1.77
1950-01-01,1.816
1950-04-01,1.858
1950-07-01,1.9
1950-10-01,1.958
1951-01-01,2.005
1951-04-01,2.067
1951-07-01,2.136
1951-10-01,2.206
1952-01-01,2.271
1952-04-01,2.336
1952-07-01,2.413
1952-10-01,2.483
1953-01-01,2.561
1953-04-01,2.636
1953-07-01,2.723
1953-10-01,2.815
1954-01-01,2.915
1954-04-01,2.999
1954-07-01,3.082
1954-10-01,3.172
1955-01-01,3.262
1955-04-01,3.44
1955-07-01,3.667
1955-10-01,3.974
1956-01-01,4.337
1956-04-01,4.692
1956-07-01,5.036
1956-10-01,5.319
1957-01-01,5.57
1957-04-01,5.81
1957-07-01,5.994
1957-10-01,6.145
1958-01-01,6.257
1958-04-01,6.348
1958-07-01,6.48
1958-10-01,6.624
1959-01-01,6.787
1959-04-01,6.931
1959-07-01,7.083
1959-10-01,7.216
1960-01-01,7.428
1960-04-01,7.712
1960-07-01,7.921
1960-10-01,8.11
1961-01-01,8.359
1961-04-01,8.653
1961-07-01,8.906
1961-10-01,9.104
1962-01-01,9.298
1962-04-01,9.576
1962-07-01,9.943
1962-10-01,10.39
1963-01-01,10.925
1963-04-01,11.412
1963-07-01,11.847
1963-10-01,12.186
1964-01-01,12.474
1964-04-01,12.717
1964-07-01,12.896
1964-10-01,13.048
1965-01-01,13.192
1965-04-01,13.429
1965-07-01,13.75
1965-10-01,14.16
1966-01-01,14.659
1966-04-01,15.046
1966-07-01,15.343
1966-10-01,15.54
1967-01-01,15.641
1967-04-01,15.771
1967-07-01,15.911
1967-10-01,16.127
1968-01-01,16.346
1968-04-01,16.565
1968-07-01,16.774
1968-10-01,16.971
1969-01-01,17.145
1969-04-01,17.232
1969-07-01,17.228
1969-10-01,17.126
1970-01-01,16.937
1970-04-01,16.807
1970-07-01,16.764
1970-10-01,16.82
1971-01-01,16.919
1971-04-01,17.082
1971-07-01,17.303
1971-10-01,17.607
1972-01-01,17.938
1972-04-01,18.259
1972-07-01,18.506
1972-10-01,18.742
1973-01-01,18.908
1973-04-01,19.084
1973-07-01,19.269
1973-10-01,19.443
1974-01-01,19.636
1974-04-01,19.88
1974-07-01,20.132
1974-10-01,20.457
1975-01-01,20.806
1975-04-01,21.206
1975-07-01,21.673
1975-10-01,22.176
