date,Y057RC1Q027SBEA
1976-01-01,22.733
1976-04-01,23.28
1976-07-01,23.824
1976-10-01,24.358
1977-01-01,24.885
1977-04-01,25.437
1977-07-01,26.063
1977-10-01,26.697
1978-01-01,27.389
1978-04-01,28.104
1978-07-01,28.881
1978-10-01,29.68
1979-01-01,30.525
1979-04-01,31.393
1979-07-01,32.279
1979-10-01,33.176
1980-01-01,34.075
1980-04-01,35.069
1980-07-01,36.157
1980-10-01,37.337
1981-01-01,38.595
1981-04-01,39.77
1981-07-01,40.845
1981-10-01,41.813
1982-01-01,42.697
1982-04-01,43.647
1982-07-01,44.686
1982-10-01,45.799
1983-01-01,46.994
1983-04-01,48.212
1983-07-01,49.434
1983-10-01,50.683
1984-01-01,51.967
1984-04-01,53.505
1984-07-01,55.328
1984-10-01,57.427
1985-01-01,59.808
1985-04-01,61.668
1985-07-01,63.003
1985-10-01,63.793
1986-01-01,64.061
1986-04-01,64.725
1986-07-01,65.788
1986-10-01,67.255
1987-01-01,69.129
1987-04-01,70.605
1987-07-01,71.651
1987-10-01,72.304
1988-01-01,72.555
1988-04-01,72.707
1988-07-01,72.774
1988-10-01,72.751
1989-01-01,72.649
1989-04-01,72.767
1989-07-01,73.144
1989-10-01,73.74
1990-01-01,74.56
1990-04-01,75.057
1990-07-01,75.227
1990-10-01,75.054
1991-01-01,74.547
1991-04-01,74.128
1991-07-01,73.822
1991-10-01,73.593
1992-01-01,73.469
1992-04-01,73.319
1992-07-01,73.16
1992-10-01,72.999
1993-01-01,72.828
1993-04-01,72.746
1993-07-01,72.756
1993-10-01,72.866
1994-01-01,73.073
1994-04-01,73.376
1994-07-01,73.803
1994-10-01,74.311
1995-01-01,74.924
1995-04-01,75.394
1995-07-01,75.713
1995-10-01,75.914
1996-01-01,75.964
1996-04-01,76.111
1996-07-01,76.357
1996-10-01,76.685
1997-01-01,77.115
1997-04-01,77.501
1997-07-01,77.861
1997-10-01,78.177
1998-01-01,78.462
1998-04-01,78.805
1998-07-01,79.222
1998-10-01,79.706
1999-01-01,80.251
1999-04-01,80.976
1999-07-01,81.84
1999-10-01,82.896
2000-01-01,84.103
2000-04-01,85.371
2000-07-01,86.661
2000-10-01,88.012
2001-01-01,89.4
2001-04-01,90.933
2001-07-01,92.608
2001-10-01,94.439
2002-01-01,97.508
2002-04-01,99.973
2002-07-01,102.289
2002-10-01,104.478
2003-01-01,106.485
2003-04-01,108.425
2003-07-01,110.309
2003-10-01,112.121
2004-01-01,113.834
2004-04-01,115.565
2004-07-01,117.328
2004-10-01,119.085
2005-01-01,120.857
2005-04-01,122.45
2005-07-01,123.859
2005-10-01,125.084
2006-01-01,126.118
2006-04-01,127.276
2006-07-01,128.5
2006-10-01,129.848
2007-01-01,131.331
2007-04-01,132.765
2007-07-01,134.167
2007-10-01,135.523
2008-01-01,136.831
2008-04-01,137.87
2008-07-01,138.644
2008-10-01,139.161
2009-01-01,139.422
2009-04-01,140.012
2009-07-01,140.947
2009-10-01,142.254
2010-01-01,143.883
2010-04-01,145.201
2010-07-01,146.197
2010-10-01,146.851
2011-01-01,147.207
2011-04-01,147.422
2011-07-01,147.533
2011-10-01,147.502
2012-01-01,147.355
2012-04-01,147.182
2012-07-01,146.989
2012-10-01,146.783
2013-01-01,144.824
2013-04-01,143.798
2013-07-01,142.791
2013-10-01,141.796
2014-01-01,140.798
2014-04-01,140.531
2014-07-01,140.998
2014-10-01,142.2
2015-01-01,144.051
2015-04-01,145.361
2015-07-01,146.126
2015-10-01,146.344
2016-01-01,145.964
2016-04-01,146.093
2016-07-01,146.731
2016-10-01,147.876
2017-01-01,149.574
2017-04-01,151.425
2017-07-01,153.431
2017-10-01,155.592
2018-01-01,158.721
2018-04-01,160.113
2018-07-01,160.722
2018-10-01,160.513
2019-01-01,160.026
2019-04-01,161.52
2019-07-01,165.095
2019-10-01,170.741
2020-01-01,178.547
2020-04-01,182.723
2020-07-01,188.856
2020-10-01,192.626
2021-01-01,194.558
2021-04-01,197.215
2021-07-01,200.899
2021-10-01,205.317
2022-01-01,210.379
2022-04-01,215.433
2022-07-01,220.768
2022-10-01,226.118
2023-01-01,231.674
2023-04-01,236.094
2023-07-01,239.671
2023-10-01,242.224
2024-01-01,243.855
2024-04-01,245.872
2024-07-01,248.524
2024-10-01,251.768
